Business Name,Industry,Age,Company Type,Annual Revenue (USD),Number of Employees,Credit Score,Collateral Value (USD),Debt-to-Equity Ratio,Profit Margin,Cash Flow (USD),Outstanding Debt (USD),Market Competition,Business Plan Quality,Ownership Structure,Location,Regulatory Environment,Business Assets (USD),Growth Potential,Industry Trends,Customer Base,Supplier Relationships,Management Experience,Tax Compliance,Technological Infrastructure,Loan Approved
Zenith Bank,Media,39,Limited,"1,200,000,000","9,000",705,"4,000,000,000",0.7,18%,"1,000,000","250,000,000",High,Good,Public,Nigeria,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,Media,31,Public,"5,000,000,000","147,000",728,"20,000,000,000",0.4,8%,"1,000,000","1,000,000,000",High,Good,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Vodacom Group,Telecommunications,10,Limited,"2,500,000,000","15,000",705,"4,000,000,000",0.7,8%,"500,000","300,000,000",High,Good,Public,South Africa,Strict,"40,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Telecommunications,37,Public,"20,000,000,000","9,000",755,"35,000,000,000",1,10%,"1,200,000","300,000,000",High,Average,Private,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Safaricom,Telecommunications,7,Private,"100,000,000",500,600,"4,000,000,000",1.2,12%,"100,000","200,000,000",Medium,Average,Private,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Adequate,Yes
Zenith Bank,Retail,7,Public,"2,500,000,000","30,000",679,"15,000,000,000",0.6,10%,"1,200,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Telecommunications,105,Public,"1,200,000,000","29,000",716,"20,000,000,000",0.4,16%,"1,500,000","1,000,000,000",High,Excellent,Public,South Africa,Strict,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Telecommunications,8,Public,"20,000,000,000","30,000",683,"9,000,000,000",0.7,18%,"100,000","300,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Private,"100,000,000",500,600,"150,000,000",0.4,10%,"50,000","30,000,000",Medium,Average,Private,Nigeria,Moderate,"500,000,000",High,Positive,Large,Moderate,Experienced,Compliant,Adequate,No
Flutterwave,Manufacturing,7,Private,"2,500,000,000","9,000",600,"150,000,000",0.9,18%,"100,000","300,000,000",Medium,Good,Public,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Banking,7,Corporation,"5,000,000,000","15,000",800,"15,000,000,000",0.4,15%,"1,000,000","1,000,000,000",Medium,Excellent,Public,Nigeria,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Flutterwave,Financial Technology,7,Public,"20,000,000,000","19,000",692,"4,000,000,000",1.2,10%,"50,000","100,000,000",High,Good,Private,Nigeria,Moderate,"70,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,No
Jumia,Telecommunications,7,Private,"2,500,000,000","9,000",617,"25,000,000,000",1.1,10%,"50,000","30,000,000",Medium,Good,Private,Kenya,Moderate,"7,000,000,000",High,Positive,Medium,Moderate,Experienced,Compliant,Advanced,No
Dangote Group,Manufacturing,105,Public,"10,000,000,000","147,000",781,"2,500,000,000",0.4,15%,"1,200,000","500,000,000",High,Good,Public,South Africa,Strict,"50,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Sasol Ltd,Retail,67,Corporation,"25,000,000,000","147,000",731,"20,000,000,000",0.4,16%,"1,000,000","500,000,000",High,Excellent,Public,South Africa,Strict,"30,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Zenith Bank,Media,105,Public,"1,200,000,000","30,000",695,"35,000,000,000",0.7,18%,"500,000","500,000,000",High,Good,Public,Nigeria,Strict,"15,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Jumia,Manufacturing,7,Public,"100,000,000","15,000",776,"2,500,000,000",0.7,15%,"1,000,000","300,000,000",High,Excellent,Public,South Africa,Strict,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
MTN Group,E-commerce,67,Corporation,"10,000,000,000","30,000",716,"20,000,000,000",0.5,20%,"1,500,000","200,000,000",High,Good,Public,South Africa,Moderate,"7,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Dangote Group,Media,12,Public,"10,000,000,000","13,000",715,"1,200,000,000",0.7,8%,"200,000","500,000,000",High,Average,Public,South Africa,Strict,"1,800,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
Naspers,E-commerce,13,Limited,"1,200,000,000","9,000",668,"35,000,000,000",0.4,10%,"1,500,000","300,000,000",High,Good,Public,Kenya,Moderate,"60,000,000,000",High,Positive,Large,Strong,Experienced,Compliant,Advanced,Yes
