Company Name,Business Revenue,Profitability,Cash Flow,Business Age,Industry Sector,Business Structure,Ownership Structure,Credit History,Collateral Value,Debt-to-Equity Ratio,Regulatory Compliance,Use of Funds,Industry Trends,Loan Approved
ABC Holdings,"$500,000 ",15%,"$50,000 ",10 years,Financial Services,Corporation,Founder-owned,Good,"$750,000 ",0.5,Yes,Expand operations,neutral,1
Tech Solutions,"$300,000 ",10%,"$30,000 ",5 years,Technology,Limited Liability Company,Co-founder partnership,Limited,"$400,000 ",0.3,No,Software development,positive,0
ZimMart,"$700,000 ",20%,"$70,000 ",15 years,Retail,Sole Proprietorship,Family-owned,Excellent,"$900,000 ",0.8,Yes,Store expansion,neutral,1
Hospitality Inn,"$400,000 ",12%,"$40,000 ",7 years,Hospitality,Partnership,Multiple partners,Moderate,"$600,000 ",0.6,No,Renovation & expansion,negative,0
BuildZim,"$600,000 ",18%,"$60,000 ",12 years,Construction,Corporation,Investor-owned,Strong,"$1,000,000 ",0.4,Yes,Equipment upgrade,neutral,1
Econet Wireless,"$1,200,000 ",25%,"$120,000 ",20 years,Telecommunications,Corporation,Founder-owned,Excellent,"$2,000,000 ",0.3,Yes,Network expansion,negative,0
OK Zimbabwe,"$800,000 ",18%,"$80,000 ",25 years,Retail,Corporation,Publicly traded,Good,"$1,500,000 ",0.4,Yes,Store renovation,neutral,1
Delta Corporation,"$1,500,000 ",20%,"$150,000 ",40 years,Beverages,Corporation,Publicly traded,Excellent,"$3,000,000 ",0.5,Yes,Production expansion,negative,0
Seed Co Zimbabwe,"$900,000 ",15%,"$90,000 ",35 years,Agriculture,Corporation,Publicly traded,Good,"$1,200,000 ",0.4,Yes,Research & Development,neutral,1
Innscor Africa,"$1,100,000 ",22%,"$110,000 ",30 years,Food,Corporation,Founder-owned,Excellent,"$2,500,000 ",0.6,Yes,Product diversification,negative,0
Padenga Holdings,"$700,000 ",12%,"$70,000 ",15 years,Agriculture,Corporation,Publicly traded,Good,"$1,000,000 ",0.3,Yes,Farm expansion,neutral,1
Meikles Limited,"$1,300,000 ",16%,"$130,000 ",50 years,Retail,Corporation,Publicly traded,Good,"$2,200,000 ",0.4,Yes,Infrastructure upgrade,neutral,1
